text,label,label_text,GPT_sentiment
@user @user @user @user but some of the reviews are good.,2,positive,positive
"US electoral college a rubber stamp, says Talbott #news #timesofindia",1,neutral,neutral
@user @user well traditionally we don't vote rightists into power. And are too fragmented to elect a trump or modi,0,negative,negative
@user @user why did trump appoint Steve Bannon in his cabinet who openly racism and support KKK.This guy will save th wrld?,0,negative,negative
AI and robots line up for battlefield service via @user,1,neutral,neutral
Galaxy Note 7 Banned In U.S. Flights & Violators Will Be Sent To Prison,0,negative,negative
You can still sign up for the evening seminar on #dronestrikes in counter-terror wars 14 December  #TheHague @user,1,neutral,neutral
Is Ukraine headed for another revolution? via @user #saakashvili,1,neutral,neutral
RIP EU Persona 5 PSN theme  ;_;   ;_;   ;_;The ride never ends for Europe,1,neutral,neutral
I bought a guy a Valentines Day gift once and that was really traumatic for me so I try my best to be single on gift giving holidays.,1,neutral,negative
@user @user Your mother should have had a medical plan that included abortion,0,negative,negative
The union between myself and @user must be realized. A marriage between rightists and #tankies must be secured for the sake of peace!,1,neutral,neutral
Ashley Graham Shows Off Her Killer Curves in a Sexy Lace LBD,2,positive,positive
"China's TPP alternative lacks protection for workers, environment, information",0,negative,negative
I just want the semester to be over so I can watch Westworld and Insecure without guilt,2,positive,neutral
We must raise the minimum wage. Now is not among them.,1,neutral,neutral
It could all be true and @user  @user Drone strikes & flying around on Air Force 1 has caused it!,0,negative,negative
"I will go so far to say s1 of westworld isn't just good, it's brilliant. A story within a story within a story about storytelling",2,positive,positive
OMG !! Best FIFA 17 Goal Ever !!! #fifa17 #psn #goal #fcbarcelona #neymar #FCBlive,2,positive,positive
Are you really using the anniversary of a #massacre aka #Thanksgiving to show off all the junk you are 'thankful' for? #warpedhistory,0,negative,negative
"IFC signed agreement with Bank of #Palestine to scale up lending operations to smaller firms, especially women-owne…",2,positive,neutral
“Pharmaceutical companies are being affected by these lower numbers in so many states across the country.”,0,negative,neutral
@user The popular vote that backfires is this year's big lesson to the elites.,0,negative,negative
"State Undertaking Medicaid ""Transformation""",1,neutral,neutral
15. Justin Verlander should have won the 2012 and 2016 Cy Youngs.,1,neutral,neutral
They'll remember this night forever. #ThisIsUs,2,positive,positive
louisa wall (mp)- a queer woc- supports cannabis legalisation - supports decriminalisation of euthanasia - believes in maori rights,1,neutral,positive
"Another major #Norwegian investor divests from #DakotaAccessPipeline, sold $23.8m shares via @user #StandingRock",1,neutral,neutral
#WVIAPublicMedia Kellyanne Conway Attempts To Clarify Trump Children's Role In Transition. Read Blog:,1,neutral,neutral
"If the regular brands won't sell clothes for sizes 10+, cool new brands will - check these out!https://t.co/EheBTXzytD",1,neutral,positive
@user @user @user @user @user DAPL is not meant 2 supply the US 2nd Fracking should B avoided as there R better options,0,negative,negative
"when you jacked into your house without keys. hell yeah, i'm david blaine jr.",2,positive,positive
Who gets the phone in a gay marriage and someone calls and asks to speak to the man of the house?,1,neutral,neutral
"""Out here the penalty for that is death."" ""I accept that"" ""Well I don't! What purpose would it serve? It can't bring Cora back now can it?""",0,negative,negative
Everything in my @user store is now on sale! 48 hours only! If you like #DavidBowie #TheWalkingDead #ledzeppelin #HorrorMovies,2,positive,positive
"@user nah. Not going to happen mate, no matter how much you wet your pants about it. No #brexit. Save Great Britain from hate!",0,negative,negative
"HA! #Giuliani is a UGE crook! #CrookedRudy never ever trust him, he was in w #Comey #Romey be a fair not a #bigot…",0,negative,negative
@user @user @user @user zillion dolla chicks aka (destiny's abortion) back it,1,neutral,negative
"Yes, yes, yes! A billion times yes. So say my daughters with autism who could lose their coverage of therapy. #ACA…",1,neutral,negative
#SimplyRik Melania Trump Is Set To Be A Long-Distance First Lady Follow me on @user,1,neutral,neutral
"I'm basically the Fidel Castro of New Zealand, having now outlived or outlasted nine NZ prime ministers. #nzpol #ninedowntwotogo",1,neutral,neutral
@user It is racist to say voter id amounts to suppression. Minorities can get IDs just as easily as anyone else.,0,negative,negative
@user funny everyone i know is paying actual money for theirs w/ some subsidies. Only 1 person i know got expanded medicaid,2,positive,neutral
What a nice and heart-warming episode <3 #ThisIsUs #LikeAllRightLetsTalkAboutTheseTwo,2,positive,positive
Nice 10-k-run in the morning sun. #Jerusalem,2,positive,positive
"Obama goes to Cuba after 50+ years of embargo, LIBTARDS pat him on the back. Trump gets a congratulations from...",1,neutral,negative
"@user @user @user begging for book sales & playing a victim isnt cool, PC crap is over",0,negative,negative
IF YOU SHOULD GO BACK IN 2011 WHO WOULD YOU RATHER? #NbaTipo #nba #NBAA16 #NBAwards #NBALIVEMobile #BullsNation #cavs #CavsNation #Bulls,1,neutral,neutral
LOOOOOOOOL I FORGOT THERES A CATHOLIC BLESSING OR W/E THAT LOOKS LIKE THE NAZI SALUTE,0,negative,negative
<-Asian Slut Squirts A Lot While Fucked #nsfw #bath #bubble  #onedirection,1,neutral,negative
Steve Bannon looks like a guy who would put razors in apples on Halloween,0,negative,negative
